ID,Gender,Age,Education,Profession,Kids,Consumption,Main Arg,Args,Explanation,Other Arg
P26,Male,25-34,Trade School,Manual Worker,0,1-2 times per week,Nutrition,"A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A168 Try a vegetarian alternative for family meal-times, replacing meat with a vegetarian option. For example; shepherd's pie or spaghetti bolognese can easily be made with vegetarian mince, making a tasty meat free alternative.;A53 Vegetables have a very high nutritional value and protein can be found in dairy as well as vegetables like peas and Brussels sprouts. If you are particularly concerned regarding your protein consumption (because you work out for example) you can take protein supplements (dairy or vegan).;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A51 all non-processed, natural food has a lot of vitamins. Spinach and wheat grass have up to 20 vitamins and trace elements. Protein can also be found in a lot of plant-based food.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A165 Try cuisines that already cater well to vegetarians - Indian food for example.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.;A41 All natural foods have nutritional value. Protein can be found in dairy products and some vegetables",They all seem logical based on what I have heard about meat in the media and books,NAN
P27,Female,35-44,University Degree,Non working,0,Several times per day,Nutrition,"A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A165 Try cuisines that already cater well to vegetarians - Indian food for example.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.",They didn't ask me to remove all meat. Or gave a good argument without being judgmental.,NAN
P28,Female,25-34,University Degree,Professional,2,1-2 times per week,Nutrition,"A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A168 Try a vegetarian alternative for family meal-times, replacing meat with a vegetarian option. For example; shepherd's pie or spaghetti bolognese can easily be made with vegetarian mince, making a tasty meat free alternative.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A165 Try cuisines that already cater well to vegetarians - Indian food for example.;A41 All natural foods have nutritional value. Protein can be found in dairy products and some vegetables","Because they are offering alternatives, rather than guilting someone into changing because we're ruining the environment. Often processed food is bought because it is cheaper than alternatives. Swapping a food source for vitamins does not appeal as an option. Offering suggestions for where those vitamins can be found did appeal. Positive suggestions will always appeal over negative criticism of a person's choices.",NAN
P29,Female,25-34,University Degree,Non working,2,1-2 times per week,Nutrition,"A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A168 Try a vegetarian alternative for family meal-times, replacing meat with a vegetarian option. For example; shepherd's pie or spaghetti bolognese can easily be made with vegetarian mince, making a tasty meat free alternative.;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A51 all non-processed, natural food has a lot of vitamins. Spinach and wheat grass have up to 20 vitamins and trace elements. Protein can also be found in a lot of plant-based food.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A165 Try cuisines that already cater well to vegetarians - Indian food for example.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.",I agree with reducing meat consumption because of the environmental impact it has and because I enjoy the benefits of a plant-based diet,NAN
P30,Female,35-44,University Degree,Professional,0,1-2 times per week,Nutrition,"A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A53 Vegetables have a very high nutritional value and protein can be found in dairy as well as vegetables like peas and Brussels sprouts. If you are particularly concerned regarding your protein consumption (because you work out for example) you can take protein supplements (dairy or vegan).;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.",They were mostly focused on the long term impact on the environment- which is one of the reasons why I limit the amount of meat I eat.  ,NAN
P31,Male,25-34,Trade School,Professional,0,5-6 times per week,Nutrition,"A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A168 Try a vegetarian alternative for family meal-times, replacing meat with a vegetarian option. For example; shepherd's pie or spaghetti bolognese can easily be made with vegetarian mince, making a tasty meat free alternative.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.",I understand that meat and the processes that require farming it have an extreme negative impact on the environment.,NAN
P32,Male,18-25,University Degree,Student,0,3-4 times per week,Nutrition,"A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A171  Meat is unhealthy because please tick this box as this is a concentration test.",They are related to my own personal health.,NAN
P33,Male,45-54,University Degree,Professional,3+,Once a day,Nutrition,"A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.","Environmental reasons appeal to me greatly as what happens to the environment, happens to me.  If my meat consumption is negatively impacting my health, that would also give me great pause.  I also have a hard time with the animal suffering, which is why I eat less meat than I used to.",NAN
P34,Male,45-54,University Degree,Professional,0,Several times per day,Nutrition,"A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A53 Vegetables have a very high nutritional value and protein can be found in dairy as well as vegetables like peas and Brussels sprouts. If you are particularly concerned regarding your protein consumption (because you work out for example) you can take protein supplements (dairy or vegan).;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A171  Meat is unhealthy because please tick this box as this is a concentration test.","There are many counterarguments that appeals to me but living on a vegetarian diet can be quite costly.  It is satisfying to eat meat to gain a large amount of protein in one sitting but I am aware of the environmental impact and impact on my health.   However, no distinction is made between types of meat. For example, i would rather eat only fish and vegetables as opposed to beef, poultry etc.",NAN
P35,Male,18-25,High School,Student,0,Several times per day,Nutrition,"A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A171  Meat is unhealthy because please tick this box as this is a concentration test.",I understand that the chemicals put into what I eat on a regular basis could possibly kill me one day.,NAN
P36,Male,18-25,University Degree,Other,0,5-6 times per week,Nutrition,"A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A168 Try a vegetarian alternative for family meal-times, replacing meat with a vegetarian option. For example; shepherd's pie or spaghetti bolognese can easily be made with vegetarian mince, making a tasty meat free alternative.;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A51 all non-processed, natural food has a lot of vitamins. Spinach and wheat grass have up to 20 vitamins and trace elements. Protein can also be found in a lot of plant-based food.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A165 Try cuisines that already cater well to vegetarians - Indian food for example.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.;A41 All natural foods have nutritional value. Protein can be found in dairy products and some vegetables",They present reasonable justification as to why meat consumption can be reduced. ,NAN
P37,Female,18-25,High School,Professional,0,Once a day,Nutrition,"A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A168 Try a vegetarian alternative for family meal-times, replacing meat with a vegetarian option. For example; shepherd's pie or spaghetti bolognese can easily be made with vegetarian mince, making a tasty meat free alternative.;A53 Vegetables have a very high nutritional value and protein can be found in dairy as well as vegetables like peas and Brussels sprouts. If you are particularly concerned regarding your protein consumption (because you work out for example) you can take protein supplements (dairy or vegan).;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A51 all non-processed, natural food has a lot of vitamins. Spinach and wheat grass have up to 20 vitamins and trace elements. Protein can also be found in a lot of plant-based food.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A165 Try cuisines that already cater well to vegetarians - Indian food for example.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.;A41 All natural foods have nutritional value. Protein can be found in dairy products and some vegetables",I already have an interest in at least replacing meat sometimes and all the arguements were valid and beneficial.,NAN
P38,Male,25-34,University Degree,Manual Worker,0,3-4 times per week,Nutrition,"A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A171  Meat is unhealthy because please tick this box as this is a concentration test.",Deforestation is a massive environmental concern.,NAN
P39,Male,35-44,University Degree,Professional,0,5-6 times per week,Nutrition,"A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A51 all non-processed, natural food has a lot of vitamins. Spinach and wheat grass have up to 20 vitamins and trace elements. Protein can also be found in a lot of plant-based food.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.;A41 All natural foods have nutritional value. Protein can be found in dairy products and some vegetables","I fully support cutting down on meat eating, predominantly for environmental reasons and I do try to have one meat free day each week. I am also aware that red meat in particular has related health concerns, though this argument does not hold true for me for chicken and turkey. ",NAN
P40,Male,25-34,Other,Non working,0,3-4 times per week,Nutrition,"A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A53 Vegetables have a very high nutritional value and protein can be found in dairy as well as vegetables like peas and Brussels sprouts. If you are particularly concerned regarding your protein consumption (because you work out for example) you can take protein supplements (dairy or vegan).;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A51 all non-processed, natural food has a lot of vitamins. Spinach and wheat grass have up to 20 vitamins and trace elements. Protein can also be found in a lot of plant-based food.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.;A41 All natural foods have nutritional value. Protein can be found in dairy products and some vegetables",Though I love a tasty meal at this point in my life I eat to survive not for the taste.,NAN
P41,Male,55+,University Degree,Other,1,5-6 times per week,Nutrition,"A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.",mainly environmental but I eat high fat low carb,NAN
P42,Female,25-34,University Degree,Other,2,1-2 times per week,Nutrition,"A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A168 Try a vegetarian alternative for family meal-times, replacing meat with a vegetarian option. For example; shepherd's pie or spaghetti bolognese can easily be made with vegetarian mince, making a tasty meat free alternative.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A51 all non-processed, natural food has a lot of vitamins. Spinach and wheat grass have up to 20 vitamins and trace elements. Protein can also be found in a lot of plant-based food.;A165 Try cuisines that already cater well to vegetarians - Indian food for example.",I eat meat but I don’t eat it everyday. I think eating too much meat isn’t good for the body so I agreed mostly with those counter arguments. It’s good to eat veg and lentils and fruit as a healthy diet also.,NAN
P43,Female,45-54,High School,Other,1,Once a day,Nutrition,"A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A171  Meat is unhealthy because please tick this box as this is a concentration test.","health reasons appeal to me more than anything else, because im getting old lol",NAN
P44,Female,18-25,High School,Non working,0,Once a day,Nutrition,"A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A168 Try a vegetarian alternative for family meal-times, replacing meat with a vegetarian option. For example; shepherd's pie or spaghetti bolognese can easily be made with vegetarian mince, making a tasty meat free alternative.;A53 Vegetables have a very high nutritional value and protein can be found in dairy as well as vegetables like peas and Brussels sprouts. If you are particularly concerned regarding your protein consumption (because you work out for example) you can take protein supplements (dairy or vegan).;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A51 all non-processed, natural food has a lot of vitamins. Spinach and wheat grass have up to 20 vitamins and trace elements. Protein can also be found in a lot of plant-based food.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A165 Try cuisines that already cater well to vegetarians - Indian food for example.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.;A41 All natural foods have nutritional value. Protein can be found in dairy products and some vegetables",they are true,NAN
P45,Female,55+,High School,Non working,3+,Several times per day,Nutrition,"A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.;A145 The less animals bred purely to be slaughtered, the less resources used to transport them. Smaller, more natural levels of animals would create less impact on the environment too.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.",I am concerned about the planet for future generations.,NAN
P46,Female,25-34,High School,Non working,0,Once a day,Nutrition,"A171  Meat is unhealthy because please tick this box as this is a concentration test.;A51 all non-processed, natural food has a lot of vitamins. Spinach and wheat grass have up to 20 vitamins and trace elements. Protein can also be found in a lot of plant-based food.;A41 All natural foods have nutritional value. Protein can be found in dairy products and some vegetables",I know a lot about a healthy diet and am sure these stamens are factual.,NAN
P47,Female,18-25,University Degree,Professional,0,Once a day,Nutrition,"A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A171  Meat is unhealthy because please tick this box as this is a concentration test.","I have empathy for animals, and do feel affected by the fact that meat production includes animal cruelty. I also feel that cutting out meat would be possible if it's approached slowly, with phasing meat slowly out of my diet. ",NAN
P48,Male,35-44,High School,Manual Worker,0,Once a day,Quick,"A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.",I agree with them and even though I like to eat meat I don't like the suffering that animal had to go through for me to eat it.  I do feel that we lack the resources to meet our world wide meat demand.,NAN
P49,Male,25-34,University Degree,Professional,0,Several times per day,Quick,"A142 Switching to a more plant based diet will lead to a more sustainable life on earth and have a positive impact on our future.;A122 Meat consumption is not sustainable and will lead to environmental problems that will impact our future life on earth.;A148 Eating less meat will have a positive effect upon the environment, helping to slow down the rapid rates of deforestation.;A165 Try cuisines that already cater well to vegetarians - Indian food for example.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A123 If people continue consuming meat in such high quantities as today, problems like deforestation, water shortages and greenhouse gas emissions will continue to grow.",More about the environmental impact less than making it about me or animals,NAN
P50,Female,25-34,University Degree,Professional,0,Several times per day,Taste,"A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.",Directly affect me,NAN
P51,Female,18-25,University Degree,Professional,0,3-4 times per week,Taste,"A121 Raising animals for food requires massive amounts of land, food, energy, and water and causes immense animal suffering.;A152 You will reduce your risk for cancer, heart disease and diabetes if you cut down your meat consumption.;A158 Eating less meat improves your general health, enables your digestive system to process foods more easily and gives you more energy, leaving you feeling less sluggish and tired.;A163 You could start with one or two meat free days a week where you try out a different recipe or use a meat substitute. Once you get used to it and find the recipes/substitutes you like, you can increase the number of days.;A137 Excessive consumption of meat can lead to many health problems, including heart disease, cancer and high blood pressure.;A134 Eating too much meat is linked to health complications such as an increased likelihood of a stroke or heart attack.;A159 Your reduction of meat will leave you feeling better physically and mentally. There is less risk of health complications, including food poisoning and an increased benefit of adding plant based foods to your diet to make it healthier and more varied.;A171  Meat is unhealthy because please tick this box as this is a concentration test.;A133 Eating processed meat several times a week (or even day) can lead to serious health issues due to the high consumption of saturated fat, hormones and medicine (antibiotics) in the meat.",Mostly the health arguments appealed to me,NAN
